county,fips,rep_pct_2016,rep_votes_2016,dem_pct_2016,dem_votes_2016,rep_pct_2020,rep_votes_2020,dem_pct_2020,dem_votes_2020,vote_in_pct_2024,rep_pct_2024,rep_votes_2024,dem_pct_2024,dem_votes_2024
Adams,55001,59.2,5983,37.4,3780,62.4,7362,36.7,4329,99.0,60.4,7750,34.6,4434
Ashland,55003,43.3,3428,52.2,4136,44.0,3841,55.0,4801,99.0,46.9,4190,51.6,4612
Barron,55005,60.4,13595,35.0,7881,62.4,15803,36.3,9194,99.0,62.5,16744,33.4,8941
Bayfield,55007,43.5,4125,52.2,4953,42.5,4617,56.6,6147,99.0,43.4,4860,54.5,6107
Brown,55009,52.7,67192,41.9,53358,52.8,75871,45.6,65511,99.0,53.1,79115,45.6,67910
Buffalo,55011,58.5,4049,36.6,2531,61.9,4834,36.6,2860,99.0,64.4,5213,34.2,2765
Burnett,55013,62.1,5412,33.8,2948,63.7,6462,35.2,3569,99.0,64.8,7005,34.0,3676
Calumet,55015,58.1,15345,36.5,9634,59.0,18156,39.4,12116,99.0,59.3,19474,39.3,12922
Chippewa,55017,56.9,17912,37.7,11875,59.4,21317,38.9,13983,99.0,60.9,23414,37.9,14575
Clark,55019,63.8,8645,31.2,4225,67.2,10002,30.4,4524,98.99,68.4,10481,29.4,4509
Columbia,55021,48.3,14160,46.2,13525,50.0,16927,48.5,16410,99.0,51.6,17988,47.0,16386
Crawford,55023,50.1,3844,44.6,3426,53.1,4620,45.5,3953,99.0,56.2,5081,42.6,3850
Dane,55025,23.4,71270,71.4,217506,22.9,78794,75.7,260121,99.0,23.4,85449,75.1,273954
Dodge,55027,62.2,26643,32.6,13968,64.8,31355,33.8,16356,99.0,65.8,33071,32.8,16520
Door,55029,49.3,8584,46.1,8026,48.6,9752,50.0,10044,99.0,48.3,10098,50.6,10564
Douglas,55031,43.5,9657,51.1,11342,44.4,10923,53.7,13218,99.0,46.6,11729,52.0,13072
Dunn,55033,52.1,11487,41.0,9025,56.0,13173,42.1,9897,99.0,57.4,14727,41.4,10637
Eau Claire,55035,43.1,23301,50.4,27271,43.6,25341,54.4,31620,99.0,44.0,27724,54.6,34395
Florence,55037,71.6,1897,25.1,666,72.6,2133,26.6,781,99.0,74.6,2356,24.8,783
Fond du Lac,55039,60.8,31044,34.0,17391,62.5,35754,36.0,20588,99.0,63.8,37270,35.1,20494
Forest,55041,61.8,2787,35.1,1583,65.1,3285,34.1,1721,99.0,66.4,3382,33.0,1681
Grant,55043,51.3,12347,41.8,10047,55.3,14142,43.0,10998,99.0,58.4,15923,40.2,10965
Green,55045,46.3,8693,48.5,9121,47.6,10169,50.8,10851,99.0,49.2,10842,49.5,10903
Green Lake,55047,66.7,6210,29.0,2700,67.3,7168,31.4,3344,99.0,67.6,7454,31.3,3448
Iowa,55049,39.7,4809,55.0,6669,42.3,5909,56.0,7828,99.0,45.3,6631,52.9,7750
Iron,55051,60.1,2090,36.6,1273,60.9,2438,38.3,1533,99.0,62.7,2562,36.4,1487
Jackson,55053,53.3,4907,41.5,3821,56.9,5791,41.8,4256,99.0,59.1,6204,39.6,4157
Jefferson,55055,55.3,23409,39.1,16559,56.9,27208,41.6,19904,99.0,57.5,28772,41.1,20581
Juneau,55057,61.2,7188,34.9,4100,63.9,8749,34.7,4746,99.0,65.6,9525,33.4,4854
Kenosha,55059,47.5,36025,47.2,35770,50.8,44972,47.7,42193,99.0,52.5,47471,46.2,41823
Kewaunee,55061,61.6,6616,33.7,3623,65.7,7927,32.9,3976,99.0,66.3,8266,32.6,4058
