county,fips,rep_pct_2016,rep_votes_2016,dem_pct_2016,dem_votes_2016
Adams,55001,59.2,5983,37.4,3780
Ashland,55003,43.3,3428,52.2,4136
Barron,55005,60.4,13595,35.0,7881
Bayfield,55007,43.5,4125,52.2,4953
Brown,55009,52.7,67192,41.9,53358
Buffalo,55011,58.5,4049,36.6,2531
Burnett,55013,62.1,5412,33.8,2948
Calumet,55015,58.1,15345,36.5,9634
Chippewa,55017,56.9,17912,37.7,11875
Clark,55019,63.8,8645,31.2,4225
Columbia,55021,48.3,14160,46.2,13525
Crawford,55023,50.1,3844,44.6,3426
Dane,55025,23.4,71270,71.4,217506
Dodge,55027,62.2,26643,32.6,13968
Door,55029,49.3,8584,46.1,8026
Douglas,55031,43.5,9657,51.1,11342
Dunn,55033,52.1,11487,41.0,9025
Eau Claire,55035,43.1,23301,50.4,27271
Florence,55037,71.6,1897,25.1,666
Fond du Lac,55039,60.8,31044,34.0,17391
Forest,55041,61.8,2787,35.1,1583
Grant,55043,51.3,12347,41.8,10047
Green,55045,46.3,8693,48.5,9121
Green Lake,55047,66.7,6210,29.0,2700
Iowa,55049,39.7,4809,55.0,6669
Iron,55051,60.1,2090,36.6,1273
Jackson,55053,53.3,4907,41.5,3821
Jefferson,55055,55.3,23409,39.1,16559
Juneau,55057,61.2,7188,34.9,4100
Kenosha,55059,47.5,36025,47.2,35770
Kewaunee,55061,61.6,6616,33.7,3623
La Crosse,55063,42.0,26384,51.6,32402
Lafayette,55065,52.3,3977,43.3,3288
Langlade,55067,63.8,6436,32.3,3260
Lincoln,55069,57.7,8400,36.9,5370
Manitowoc,55071,58.1,23234,36.4,14563
Marathon,55073,56.7,39010,38.5,26476
Marinette,55075,65.0,12995,31.2,6243
Marquette,55077,60.3,4712,35.9,2808
Menominee,55078,21.0,269,78.4,1003
Milwaukee,55079,29.0,126091,66.4,288986
Monroe,55081,58.5,11442,36.0,7047
Oconto,55083,66.5,13255,29.5,5886
Oneida,55085,56.0,11677,38.9,8103
Outagamie,55087,54.2,51579,40.1,38117
Ozaukee,55089,57.1,30458,37.8,20167
Pepin,55091,59.5,2228,35.9,1345
Pierce,55093,53.4,11260,39.7,8380
Polk,55095,61.1,13864,33.4,7568
Portage,55097,45.4,17310,48.6,18524
Price,55099,60.3,4562,35.3,2671
Racine,55101,49.8,46620,45.4,42506
Richland,55103,50.5,4021,44.9,3577
Rock,55105,42.0,31483,52.4,39336
Rusk,55107,64.9,4564,30.9,2171
Sauk,55111,46.9,15871,47.4,16050
Sawyer,55113,59.5,4625,36.6,2846
Shawano,55115,64.7,12742,30.7,6056
Sheboygan,55117,55.5,32368,38.8,22636
St. Croix,55109,55.8,26123,37.4,17496
Taylor,55119,70.0,6589,25.5,2398
Trempealeau,55121,54.3,7370,41.6,5645
Vernon,55123,49.3,6994,44.7,6351
Vilas,55125,60.7,8169,35.4,4769
Walworth,55127,57.0,28848,37.0,18706
Washburn,55129,59.7,5404,36.2,3283
Washington,55131,67.8,51729,27.4,20854
Waukesha,55133,61.6,145519,33.5,79199
Waupaca,55135,62.8,16013,32.6,8303
Waushara,55137,64.1,7669,31.8,3802
Winnebago,55139,50.6,43447,43.1,37054
Wood,55141,57.0,21502,37.7,14232
