county,rep_pct_2020,rep_votes_2020,dem_pct_2020,dem_votes_2020
Adams,62.4,7362,36.7,4329
Ashland,44.0,3841,55.0,4801
Barron,62.4,15803,36.3,9194
Bayfield,42.5,4617,56.6,6147
Brown,52.8,75871,45.6,65511
Buffalo,61.9,4834,36.6,2860
Burnett,63.7,6462,35.2,3569
Calumet,59.0,18156,39.4,12116
Chippewa,59.4,21317,38.9,13983
Clark,67.2,10002,30.4,4524
Columbia,50.0,16927,48.5,16410
Crawford,53.1,4620,45.5,3953
Dane,22.9,78794,75.7,260121
Dodge,64.8,31355,33.8,16356
Door,48.6,9752,50.0,10044
Douglas,44.4,10923,53.7,13218
Dunn,56.0,13173,42.1,9897
Eau Claire,43.6,25341,54.4,31620
Florence,72.6,2133,26.6,781
Fond du Lac,62.5,35754,36.0,20588
Forest,65.1,3285,34.1,1721
Grant,55.3,14142,43.0,10998
Green,47.6,10169,50.8,10851
Green Lake,67.3,7168,31.4,3344
Iowa,42.3,5909,56.0,7828
Iron,60.9,2438,38.3,1533
Jackson,56.9,5791,41.8,4256
Jefferson,56.9,27208,41.6,19904
Juneau,63.9,8749,34.7,4746
Kenosha,50.8,44972,47.7,42193
Kewaunee,65.7,7927,32.9,3976
La Crosse,42.4,28684,55.9,37846
Lafayette,56.4,4821,42.7,3647
Langlade,65.7,7330,33.2,3704
Manitowoc,60.8,27218,37.6,16818
Marathon,58.3,44624,40.2,30808
Marinette,66.6,15304,32.1,7366
Marquette,63.2,5719,35.8,3239
Menominee,17.5,278,81.9,1303
Milwaukee,29.4,134482,69.4,317527
Monroe,61.0,13775,37.4,8433
Oconto,69.9,16226,28.9,6715
Oneida,56.7,13671,41.9,10105
Outagamie,54.1,58385,44.1,47667
Ozaukee,55.4,33912,43.3,26517
Pepin,62.4,2584,36.0,1489
Pierce,55.1,12815,42.1,9796
Polk,63.0,16611,35.5,9370
Portage,47.7,19299,50.4,20428
Price,63.1,5394,35.5,3032
Racine,51.3,54479,47.2,50159
Richland,54.1,4871,44.4,3995
Rock,43.6,37138,54.8,46658
Rusk,66.7,5257,31.9,2517
St. Croix,56.9,32199,41.0,23190
Sauk,48.3,17493,50.0,18108
Sawyer,56.3,5909,42.9,4498
Shawano,67.1,15173,31.5,7131
Sheboygan,57.1,37609,41.2,27101
Taylor,71.7,7657,25.2,2693
Trempealeau,57.5,8833,40.9,6285
Vernon,51.7,8218,46.9,7457
Vilas,60.4,9261,38.5,5903
Walworth,58.9,33851,39.7,22789
Washburn,61.2,6334,37.3,3867
Washington,68.4,60237,30.3,26650
Waukesha,59.7,159649,38.9,103906
Waupaca,65.2,18952,33.4,9703
Waushara,66.5,9016,32.3,4388
Winnebago,51.0,47796,47.0,44060
Wood,59.0,24308,39.7,16365
Lincoln,60.7,10017,38.0,6261
